Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2025-06-24T12:00:24.387Z,XUCD,BUY - MARKET,0.16640336,EUR 75.96,EUR 12.64,EUR,1.0000
2025-06-24T12:00:26.079Z,IS3K,BUY - MARKET,0.29136302,EUR 75.06,EUR 21.87,EUR,1.0000
2025-06-24T12:00:27.835Z,IS3Q,BUY - MARKET,0.57262885,EUR 61.89,EUR 35.44,EUR,1.0000
2025-06-24T12:00:33.037Z,EXI2,BUY - MARKET,0.35437174,EUR 84.29,EUR 29.87,EUR,1.0000
2025-07-01T11:15:04.835485Z,IS3K,DIVIDEND,,,EUR 2.53,EUR,1.0000
2025-07-15T00:47:04.088633Z,,ROBO MANAGEMENT FEE,,,EUR -0.48,EUR,1.0000
2025-07-17T08:07:24.893889Z,,CASH TOP-UP,,,EUR 150,EUR,1.0000
2025-07-17T09:00:01.887Z,EXW1,BUY - MARKET,0.16060271,EUR 54.42,EUR 8.74,EUR,1.0000
2025-07-17T09:00:04.212Z,DBXJ,BUY - MARKET,0.1239815,EUR 74.61,EUR 9.25,EUR,1.0000
2025-07-17T09:00:04.806Z,XUCD,BUY - MARKET,0.21985446,EUR 76.96,EUR 16.92,EUR,1.0000
2025-07-17T09:00:07.832Z,AMEM,BUY - MARKET,1.37489715,EUR 5.47,EUR 7.52,EUR,1.0000
2025-07-17T09:00:09.138Z,EXI2,BUY - MARKET,0.3552031,EUR 87.64,EUR 31.13,EUR,1.0000
2025-07-17T09:00:40.046Z,IS3Q,BUY - MARKET,0.53538071,EUR 63.17,EUR 33.82,EUR,1.0000
2025-07-17T09:00:43.453Z,IS3K,BUY - MARKET,0.2363953,EUR 75.21,EUR 17.78,EUR,1.0000
2025-07-17T09:00:50.408Z,XDWT,BUY - MARKET,0.25433208,EUR 91.18,EUR 23.19,EUR,1.0000
2025-08-14T20:52:46.486800Z,,CASH TOP-UP,,,EUR 100,EUR,1.0000
2025-08-15T00:59:23.625756Z,,ROBO MANAGEMENT FEE,,,EUR -0.62,EUR,1.0000
2025-08-15T08:29:16.168775Z,,CASH TOP-UP,,,EUR 100,EUR,1.0000
2025-08-15T09:00:07.262Z,EXI2,BUY - MARKET,0.23074372,EUR 90.49,EUR 20.88,EUR,1.0000
2025-08-15T09:00:07.462Z,DBXJ,BUY - MARKET,0.00898102,EUR 82.40,EUR 0.74,EUR,1.0000
2025-08-15T09:00:08.870Z,IS3Q,BUY - MARKET,0.36551938,EUR 64.21,EUR 23.47,EUR,1.0000
2025-08-15T09:00:46.927Z,EXW1,BUY - MARKET,0.09721471,EUR 55.65,EUR 5.41,EUR,1.0000
2025-08-15T09:00:57.597Z,XDWT,BUY - MARKET,0.20229979,EUR 93.92,EUR 19,EUR,1.0000
2025-08-15T09:01:02.719Z,XUCD,BUY - MARKET,0.10849411,EUR 79.82,EUR 8.66,EUR,1.0000
2025-08-15T09:01:36.053Z,AMEM,BUY - MARKET,1.05215751,EUR 5.55,EUR 5.84,EUR,1.0000
2025-08-15T09:01:55.210Z,IS3K,BUY - MARKET,0.166267,EUR 75.48,EUR 12.55,EUR,1.0000
2025-08-15T13:45:02.748Z,DBXJ,BUY - MARKET,0.05682376,EUR 82.36,EUR 4.68,EUR,1.0000
2025-08-15T13:45:03.556Z,EXW1,BUY - MARKET,0.08633093,EUR 55.60,EUR 4.80,EUR,1.0000
2025-08-15T13:45:08.691Z,AMEM,BUY - MARKET,0.87277972,EUR 5.55,EUR 4.84,EUR,1.0000
2025-08-15T13:45:17.149Z,IS3Q,BUY - MARKET,0.3309442,EUR 64.18,EUR 21.24,EUR,1.0000
2025-08-15T13:45:28.233Z,EXI2,BUY - MARKET,0.24057489,EUR 90.45,EUR 21.76,EUR,1.0000
2025-08-15T13:45:35.764Z,XDWT,BUY - MARKET,0.21718684,EUR 93.56,EUR 20.32,EUR,1.0000
2025-08-15T13:45:39.689Z,XUCD,BUY - MARKET,0.12587689,EUR 79.84,EUR 10.05,EUR,1.0000
2025-08-15T13:45:49.851Z,IS3K,BUY - MARKET,0.13787703,EUR 75.36,EUR 10.39,EUR,1.0000
2025-09-08T09:21:29.178222Z,XUCD,DIVIDEND,,,EUR 0.33,EUR,1.0000
2025-09-15T00:25:33.073068Z,,ROBO MANAGEMENT FEE,,,EUR -0.74,EUR,1.0000
2025-09-30T12:51:59.037677Z,,CASH TOP-UP,,,EUR 300,EUR,1.0000
2025-10-01T09:00:01.718Z,IS3Q,BUY - MARKET,0.99725232,EUR 65.51,EUR 65.33,EUR,1.0000
2025-10-01T09:00:01.822Z,DBXJ,BUY - MARKET,0.21313263,EUR 81.87,EUR 17.45,EUR,1.0000
2025-10-01T09:00:02.127Z,AMEM,BUY - MARKET,2.17550056,EUR 5.89,EUR 12.81,EUR,1.0000
2025-10-01T09:00:03.228Z,EXW1,BUY - MARKET,0.30397267,EUR 55.63,EUR 16.91,EUR,1.0000
2025-10-01T09:00:05.041Z,XUCD,BUY - MARKET,0.37072852,EUR 81.65,EUR 30.27,EUR,1.0000
2025-10-01T09:00:33.505Z,XDWT,BUY - MARKET,0.56993651,EUR 97.66,EUR 55.66,EUR,1.0000
2025-10-01T09:01:01.931Z,EXI2,BUY - MARKET,0.66705551,EUR 94.01,EUR 62.71,EUR,1.0000
2025-10-01T09:02:13.436Z,IS3K,BUY - MARKET,0.41468801,EUR 76.06,EUR 31.54,EUR,1.0000
2025-10-15T00:37:22.827129Z,,ROBO MANAGEMENT FEE,,,EUR -0.81,EUR,1.0000
2025-10-21T17:52:06.922969Z,EXW1,DIVIDEND,,,EUR 0.92,EUR,1.0000
2025-10-28T01:55:57.506721Z,,CASH TOP-UP,,,EUR 200,EUR,1.0000
2025-10-28T10:00:33.140Z,EXW1,BUY - MARKET,0.19393621,EUR 57.39,EUR 11.13,EUR,1.0000
2025-10-28T10:01:15.442Z,AMEM,BUY - MARKET,1.56632165,EUR 6.17,EUR 9.67,EUR,1.0000
2025-10-28T10:01:26.787Z,DBXJ,BUY - MARKET,0.11168457,EUR 86.05,EUR 9.61,EUR,1.0000
2025-10-28T10:01:39.824Z,IS3K,BUY - MARKET,0.32593109,EUR 77.41,EUR 25.23,EUR,1.0000
2025-10-28T10:01:59.438Z,IS3Q,BUY - MARKET,0.66346863,EUR 67.75,EUR 44.95,EUR,1.0000
2025-10-28T10:02:29.642Z,EXI2,BUY - MARKET,0.39056527,EUR 99.42,EUR 38.83,EUR,1.0000
2025-10-28T10:03:12.012Z,XDWT,BUY - MARKET,0.29534173,EUR 104.76,EUR 30.94,EUR,1.0000
2025-10-28T10:03:24.105Z,XUCD,BUY - MARKET,0.2865999,EUR 83.88,EUR 24.04,EUR,1.0000
2025-11-15T00:55:57.090466Z,,ROBO MANAGEMENT FEE,,,EUR -1.01,EUR,1.0000
2025-12-15T00:47:27.920581Z,,ROBO MANAGEMENT FEE,,,EUR -1.01,EUR,1.0000
2025-12-16T16:29:14.278600Z,EXW1,DIVIDEND,,,EUR 0.23,EUR,1.0000
2025-12-17T14:45:52.071797Z,EXI2,DIVIDEND,,,EUR 0.09,EUR,1.0000
2025-12-31T12:48:12.688986Z,IS3K,DIVIDEND,,,EUR 6.38,EUR,1.0000
2026-01-15T06:14:16.835715Z,,ROBO MANAGEMENT FEE,,,EUR -1.06,EUR,1.0000
2026-01-15T09:19:35.958385Z,,CASH TOP-UP,,,EUR 100,EUR,1.0000
2026-01-15T10:39:49.630Z,XDWT,BUY - MARKET,0.40934229,EUR 101.26,EUR 41.45,EUR,1.0000
2026-01-15T10:39:49.728Z,EXI2,BUY - MARKET,0.18747546,EUR 101.88,EUR 19.10,EUR,1.0000
2026-01-15T10:39:49.932Z,AMEM,BUY - MARKET,0.02124979,EUR 6.59,EUR 0.14,EUR,1.0000
2026-01-15T10:39:50.232Z,XUCD,BUY - MARKET,0.0961045,EUR 85.74,EUR 8.24,EUR,1.0000
2026-01-15T10:39:50.438Z,EXW1,BUY - MARKET,0.01496464,EUR 60.81,EUR 0.91,EUR,1.0000
2026-01-15T10:40:51.316Z,IS3K,BUY - MARKET,0.24125436,EUR 75.90,EUR 18.31,EUR,1.0000
2026-01-15T10:40:51.516Z,IS3Q,BUY - MARKET,0.17149758,EUR 70.38,EUR 12.07,EUR,1.0000
2026-02-15T00:19:52.279990Z,,ROBO MANAGEMENT FEE,,,EUR -1.11,EUR,1.0000
2026-02-18T13:00:14.225Z,EXI2,SELL - MARKET,4.64959134,EUR 98.45,EUR 457.75,EUR,1.0000
2026-02-18T13:00:16.780Z,EXW1,SELL - MARKET,1.7700259,EUR 61.33,EUR 108.56,EUR,1.0000
2026-02-18T13:00:22.243Z,IS3K,SELL - MARKET,2.83941785,EUR 74.67,EUR 212.02,EUR,1.0000
2026-02-18T13:00:22.578Z,IS3Q,SELL - MARKET,6.41237014,EUR 70.14,EUR 449.76,EUR,1.0000
2026-02-18T13:00:33.248Z,XUCD,SELL - MARKET,2.50747835,EUR 78.71,EUR 197.36,EUR,1.0000
2026-02-18T13:00:43.173Z,XDWT,SELL - MARKET,4.25652428,EUR 95.83,EUR 407.90,EUR,1.0000
2026-02-18T13:00:48.415Z,DBXJ,SELL - MARKET,1.17407374,EUR 96.42,EUR 113.21,EUR,1.0000
2026-02-18T13:01:24.460Z,AMEM,SELL - MARKET,16.3775562,EUR 6.80,EUR 111.29,EUR,1.0000
2026-02-19T10:00:01.157Z,LGQK,BUY - MARKET,0.30291056,EUR 103.76,EUR 31.43,EUR,1.0000
2026-02-19T10:00:13.220Z,PRAJ,BUY - MARKET,2.34749928,EUR 34.59,EUR 81.20,EUR,1.0000
2026-02-19T10:00:25.816Z,LYMS,BUY - MARKET,4.89500117,EUR 85.62,EUR 419.11,EUR,1.0000
2026-02-19T10:00:37.777Z,WELK,BUY - MARKET,4.74255969,EUR 17.67,EUR 83.82,EUR,1.0000
2026-02-19T10:00:41.565Z,LYP5,BUY - MARKET,0.86937556,EUR 421.82,EUR 366.72,EUR,1.0000
2026-02-19T10:00:46.329Z,EBUY,BUY - MARKET,5.29902643,EUR 15.82,EUR 83.82,EUR,1.0000
2026-02-19T10:00:51.097Z,LYP6,BUY - MARKET,0.71942422,EUR 302.20,EUR 217.41,EUR,1.0000
2026-02-19T10:00:54.143Z,XDWI,BUY - MARKET,1.1477475,EUR 73.03,EUR 83.82,EUR,1.0000
2026-02-19T10:01:04.804Z,AMEL,BUY - MARKET,1.96945489,EUR 21.28,EUR 41.91,EUR,1.0000
2026-02-19T10:01:19.059Z,79U0,BUY - MARKET,1.36983579,EUR 191.22,EUR 261.94,EUR,1.0000
2026-02-19T10:01:32.418Z,LEMA,BUY - MARKET,4.11697144,EUR 66.17,EUR 272.42,EUR,1.0000
2026-02-19T10:01:33.029Z,2B72,BUY - MARKET,8.53129771,EUR 9.82,EUR 83.82,EUR,1.0000
2026-02-19T10:02:02.797Z,UBUD,BUY - MARKET,0.91964112,EUR 51.27,EUR 47.15,EUR,1.0000
2026-03-06T10:00:00.687Z,XDWI,SELL - MARKET,1.1477475,EUR 72.12,EUR 82.78,EUR,1.0000
2026-03-06T10:00:00.693Z,EBUY,SELL - MARKET,5.29902643,EUR 15.97,EUR 84.63,EUR,1.0000
2026-03-06T10:00:00.711Z,UBUD,SELL - MARKET,0.91964112,EUR 52.12,EUR 47.93,EUR,1.0000
2026-03-06T10:00:00.778Z,PRAJ,SELL - MARKET,2.34749928,EUR 33.17,EUR 77.87,EUR,1.0000
2026-03-06T10:00:00.782Z,LYP6,SELL - MARKET,0.71942422,EUR 291.21,EUR 209.50,EUR,1.0000
2026-03-06T10:00:00.805Z,2B72,SELL - MARKET,8.53129771,EUR 9.50,EUR 81.07,EUR,1.0000
2026-03-06T10:00:00.843Z,WELK,SELL - MARKET,4.74255969,EUR 17.11,EUR 81.15,EUR,1.0000
2026-03-06T10:00:00.913Z,AMEL,SELL - MARKET,1.96945489,EUR 20.39,EUR 40.15,EUR,1.0000
2026-03-06T10:00:00.960Z,LYMS,SELL - MARKET,4.89500117,EUR 87.41,EUR 427.87,EUR,1.0000
2026-03-06T10:00:16.845Z,LYP5,SELL - MARKET,0.86937556,EUR 425.62,EUR 370.02,EUR,1.0000
2026-03-06T10:01:09.839Z,79U0,SELL - MARKET,1.36983579,EUR 189,EUR 258.90,EUR,1.0000
2026-03-06T10:01:27.293Z,LEMA,SELL - MARKET,4.11697144,EUR 63.82,EUR 262.74,EUR,1.0000
2026-03-06T10:06:05.941Z,LGQK,SELL - MARKET,0.30291056,EUR 102.77,EUR 31.13,EUR,1.0000
2026-03-09T16:06:25.564567Z,XUCD,DIVIDEND,,,EUR 0.48,EUR,1.0000
2026-03-10T13:57:08.894426Z,,ROBO MANAGEMENT FEE,,,EUR -0.82,EUR,1.0000
2026-03-10T13:57:09.171609Z,,CASH WITHDRAWAL,,,EUR -2080.22,EUR,1.0000
